Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1977-01-17,0.9775,0.9785,0.977,0.9778,,0.9778,122.0,949.0
1977-01-18,0.9752,0.9777,0.975,0.9773,,0.9773,86.0,971.0
1977-01-19,0.9767,0.9788,0.9766,0.9786,,0.9786,94.0,964.0
1977-01-20,0.981,0.9821,0.9797,0.9804,,0.9804,176.0,948.0
1977-01-21,0.9785,0.9795,0.977,0.9791,,0.9791,176.0,948.0
1977-01-24,0.9794,0.9797,0.9778,0.9783,,0.9783,65.0,996.0
1977-01-25,0.976,0.9769,0.9748,0.9766,,0.9766,105.0,985.0
1977-01-26,0.9735,0.9747,0.9722,0.9735,,0.9735,343.0,1097.0
1977-01-27,0.971,0.9714,0.9689,0.97,,0.97,200.0,1164.0
1977-01-28,0.966,0.9686,0.9653,0.9684,,0.9684,209.0,1230.0
1977-01-31,0.9709,0.9712,0.969,0.9712,,0.9712,221.0,1235.0
1977-02-01,0.9685,0.9697,0.966,0.9664,,0.9664,274.0,1247.0
1977-02-02,0.966,0.971,0.966,0.9688,,0.9688,323.0,1295.0
1977-02-03,0.9703,0.9717,0.9684,0.9705,,0.9705,339.0,1357.0
1977-02-04,0.9703,0.9704,0.9683,0.969,,0.969,107.0,1352.0
1977-02-07,0.9685,0.969,0.968,0.9689,,0.9689,47.0,1364.0
1977-02-08,0.968,0.968,0.9665,0.9669,,0.9669,256.0,1482.0
1977-02-09,0.968,0.97,0.968,0.9688,,0.9688,240.0,1499.0
1977-02-10,0.9705,0.9708,0.9689,0.9697,,0.9697,181.0,1537.0
1977-02-11,0.9675,0.9685,0.9673,0.9684,,0.9684,245.0,1621.0
1977-02-14,0.9677,0.9682,0.964,0.9642,,0.9642,660.0,1937.0
1977-02-15,0.9659,0.9684,0.9659,0.9676,,0.9676,623.0,2045.0
1977-02-16,0.966,0.9664,0.9651,0.9656,,0.9656,456.0,2170.0
1977-02-17,0.9665,0.9676,0.9643,0.9651,,0.9651,931.0,2346.0
1977-02-18,0.9635,0.964,0.9615,0.9621,,0.9621,835.0,2615.0
1977-02-22,0.9625,0.9639,0.9591,0.96,,0.96,1213.0,2956.0
1977-02-23,0.9592,0.9607,0.9568,0.9573,,0.9573,837.0,3145.0
1977-02-24,0.9545,0.9555,0.9521,0.9542,,0.9542,863.0,3308.0
1977-02-25,0.951,0.951,0.9467,0.9467,,0.9467,1112.0,3629.0
1977-02-28,0.9425,0.9504,0.942,0.9501,,0.9501,2746.0,2671.0
1977-03-01,0.9499,0.9501,0.9458,0.9487,,0.9487,1710.0,2173.0
1977-03-02,0.9515,0.9547,0.9508,0.9533,,0.9533,1250.0,1968.0
1977-03-03,0.954,0.9548,0.9457,0.9473,,0.9473,1794.0,2570.0
1977-03-04,0.9435,0.9448,0.9411,0.9425,,0.9425,2224.0,3285.0
1977-03-07,0.943,0.9479,0.9427,0.9456,,0.9456,1749.0,3073.0
1977-03-08,0.9485,0.9503,0.9451,0.9464,,0.9464,1539.0,3056.0
1977-03-09,0.9454,0.9474,0.9435,0.9446,,0.9446,944.0,3236.0
1977-03-10,0.9371,0.9395,0.9371,0.9371,,0.9371,1089.0,3207.0
1977-03-11,0.9394,0.9442,0.9369,0.9429,,0.9429,1987.0,2996.0
1977-03-14,0.9475,0.9475,0.9416,0.9431,,0.9431,1553.0,3108.0
1977-03-15,0.9395,0.942,0.9387,0.9417,,0.9417,1442.0,3204.0
1977-03-16,0.9408,0.9454,0.9405,0.9444,,0.9444,1680.0,2864.0
1977-03-17,0.947,0.9475,0.9441,0.9452,,0.9452,1105.0,2715.0
1977-03-18,0.9445,0.9445,0.9415,0.9431,,0.9431,826.0,2608.0
1977-03-21,0.9455,0.9491,0.945,0.9487,,0.9487,1651.0,2085.0
1977-03-22,0.9472,0.949,0.9461,0.9467,,0.9467,1002.0,1922.0
1977-03-23,0.944,0.9449,0.9421,0.9428,,0.9428,883.0,2008.0
1977-03-24,0.9445,0.9464,0.9432,0.9451,,0.9451,962.0,2101.0
1977-03-25,0.945,0.9472,0.9448,0.9458,,0.9458,814.0,2075.0
1977-03-28,0.947,0.948,0.9448,0.9462,,0.9462,611.0,2118.0
1977-03-29,0.944,0.944,0.9411,0.9412,,0.9412,1082.0,2257.0
1977-03-30,0.942,0.9436,0.9414,0.9422,,0.9422,885.0,2399.0
1977-03-31,0.941,0.9433,0.9385,0.9426,,0.9426,1839.0,2269.0
1977-04-01,0.9459,0.9468,0.943,0.9432,,0.9432,910.0,2449.0
1977-04-04,0.9395,0.9414,0.9393,0.9407,,0.9407,982.0,2657.0
1977-04-05,0.9425,0.9432,0.9409,0.9431,,0.9431,729.0,2774.0
1977-04-06,0.9435,0.9439,0.9421,0.9425,,0.9425,442.0,2889.0
1977-04-07,0.9415,0.9426,0.9402,0.9425,,0.9425,629.0,2891.0
1977-04-11,0.9432,0.944,0.9429,0.9432,,0.9432,283.0,2820.0
1977-04-12,0.9446,0.9471,0.9446,0.947,,0.947,1696.0,2015.0
1977-04-13,0.9469,0.9479,0.946,0.9465,,0.9465,427.0,1917.0
1977-04-14,0.949,0.9498,0.9479,0.9487,,0.9487,682.0,1853.0
1977-04-15,0.947,0.948,0.9464,0.9478,,0.9478,198.0,1854.0
1977-04-18,0.9482,0.9482,0.945,0.9455,,0.9455,340.0,1886.0
1977-04-19,0.9471,0.9506,0.9471,0.9498,,0.9498,593.0,1864.0
1977-04-20,0.952,0.9523,0.9511,0.952,,0.952,387.0,1744.0
1977-04-21,0.9502,0.9505,0.9491,0.9501,,0.9501,307.0,1708.0
1977-04-22,0.9492,0.9509,0.9485,0.9501,,0.9501,376.0,1694.0
1977-04-25,0.9526,0.9529,0.9519,0.9522,,0.9522,261.0,1552.0
1977-04-26,0.9513,0.9515,0.9502,0.9506,,0.9506,156.0,1561.0
1977-04-27,0.9512,0.9514,0.9505,0.9506,,0.9506,50.0,1541.0
1977-04-28,0.9506,0.951,0.9503,0.9508,,0.9508,62.0,1511.0
1977-04-29,0.9516,0.9534,0.9512,0.9533,,0.9533,127.0,1533.0
1977-05-02,0.9538,0.9545,0.9535,0.9539,,0.9539,198.0,1466.0
1977-05-03,0.9531,0.9531,0.9525,0.9525,,0.9525,70.0,1436.0
1977-05-04,0.953,0.9532,0.9527,0.9528,,0.9528,34.0,1423.0
1977-05-05,0.9527,0.9528,0.9523,0.9524,,0.9524,17.0,1405.0
1977-05-06,0.9526,0.9529,0.9525,0.9527,,0.9527,61.0,1386.0
1977-05-09,0.9506,0.9514,0.9503,0.9509,,0.9509,215.0,1355.0
1977-05-10,0.9515,0.9535,0.9515,0.953,,0.953,173.0,1342.0
1977-05-11,0.9529,0.9529,0.952,0.9525,,0.9525,78.0,1332.0
1977-05-12,0.951,0.9514,0.9497,0.9512,,0.9512,217.0,1326.0
1977-05-13,0.9502,0.951,0.9495,0.9508,,0.9508,123.0,1353.0
1977-05-16,0.9521,0.9538,0.9517,0.9537,,0.9537,148.0,1287.0
1977-05-17,0.9528,0.9546,0.9528,0.9542,,0.9542,85.0,1277.0
1977-05-18,0.9534,0.954,0.9534,0.9536,,0.9536,16.0,1276.0
1977-05-19,0.9529,0.9533,0.9525,0.9526,,0.9526,63.0,1279.0
1977-05-20,0.9512,0.9524,0.951,0.9523,,0.9523,73.0,1263.0
1977-05-23,0.9524,0.9524,0.952,0.9524,,0.9524,14.0,1252.0
1977-05-24,0.9508,0.9515,0.9504,0.9513,,0.9513,109.0,1253.0
1977-05-25,0.9515,0.952,0.9513,0.9515,,0.9515,36.0,1251.0
1977-05-26,0.9525,0.953,0.9525,0.953,,0.953,57.0,1226.0
1977-05-27,0.953,0.953,0.9521,0.9521,,0.9521,44.0,1219.0
1977-05-31,0.9511,0.9514,0.9508,0.9514,,0.9514,35.0,1188.0
1977-06-01,0.95,0.95,0.9469,0.9473,,0.9473,162.0,1160.0
1977-06-02,0.9465,0.9487,0.9461,0.9482,,0.9482,82.0,1127.0
1977-06-03,0.9486,0.9486,0.9472,0.9479,,0.9479,70.0,1096.0
1977-06-06,0.9485,0.9491,0.948,0.9481,,0.9481,61.0,1053.0
