Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1982-02-01,84.02,84.11,83.74,83.74,,83.74,423.0,1162.0
1982-02-02,83.77,84.1,83.77,83.88,,83.88,777.0,1126.0
1982-02-03,83.96,84.1,83.71,83.73,,83.73,619.0,1241.0
1982-02-04,83.88,84.01,83.75,83.85,,83.85,454.0,1247.0
1982-02-05,83.9,83.99,83.75,83.85,,83.85,311.0,1249.0
1982-02-08,83.75,83.93,83.58,83.58,,83.58,190.0,1198.0
1982-02-09,83.57,83.58,83.33,83.39,,83.39,461.0,1158.0
1982-02-10,83.5,83.53,83.39,83.51,,83.51,350.0,1094.0
1982-02-11,83.52,83.59,83.27,83.43,,83.43,174.0,1109.0
1982-02-12,83.36,83.42,83.3,83.36,,83.36,147.0,1078.0
1982-02-16,82.95,83.29,82.84,83.29,,83.29,319.0,1070.0
1982-02-17,83.29,83.44,83.15,83.43,,83.43,318.0,1003.0
1982-02-18,83.52,84.1,83.52,84.04,,84.04,455.0,1038.0
1982-02-19,84.08,84.25,83.99,84.0,,84.0,282.0,1053.0
1982-02-22,84.7,85.0,84.68,84.99,,84.99,564.0,1028.0
1982-02-23,84.9,85.15,84.86,85.13,,85.13,763.0,921.0
1982-02-24,85.24,85.39,85.1,85.39,,85.39,994.0,823.0
1982-02-25,85.33,85.42,85.19,85.2,,85.2,259.0,737.0
1982-02-26,85.0,85.14,84.86,84.87,,84.87,248.0,669.0
1982-03-01,85.1,85.37,85.07,85.33,,85.33,212.0,691.0
1982-03-02,85.37,85.37,85.16,85.3,,85.3,261.0,602.0
1982-03-03,85.16,85.39,85.12,85.39,,85.39,251.0,554.0
1982-03-04,85.47,85.55,85.4,85.49,,85.49,484.0,403.0
1982-03-05,85.57,85.65,85.34,85.53,,85.53,104.0,378.0
1982-03-08,85.86,85.96,85.63,85.63,,85.63,162.0,272.0
1982-03-09,85.5,85.58,85.35,85.4,,85.4,89.0,223.0
1982-03-10,85.38,85.41,85.25,85.28,,85.28,51.0,207.0
1982-03-11,85.18,85.19,84.99,84.99,,84.99,57.0,203.0
1982-03-12,84.84,85.05,84.84,84.88,,84.88,168.0,167.0
1982-03-15,84.96,85.0,84.88,84.88,,84.88,17.0,83.0
1982-03-16,84.58,84.79,84.57,84.68,,84.68,295.0,1811.0
