Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1975-02-13,0.41,0.4105,0.41,0.4105,,0.4105,5.0,85.0
1975-02-14,0.41,0.4114,0.4095,0.4107,,0.4107,11.0,87.0
1975-02-18,0.4112,0.4127,0.4112,0.4127,,0.4127,10.0,95.0
1975-02-19,0.41,0.41,0.4089,0.4089,,0.4089,16.0,104.0
1975-02-20,0.4135,0.4139,0.4134,0.4139,,0.4139,23.0,120.0
1975-02-21,0.4158,0.416,0.415,0.416,,0.416,20.0,125.0
1975-02-24,0.4175,0.42,0.4174,0.42,,0.42,16.0,130.0
1975-02-25,0.419,0.419,0.4158,0.4172,,0.4172,26.0,138.0
1975-02-26,0.4185,0.4222,0.4185,0.4222,,0.4222,5.0,140.0
1975-02-27,0.4245,0.4259,0.4231,0.4235,,0.4235,22.0,143.0
1975-02-28,0.423,0.4234,0.4225,0.4234,,0.4234,6.0,144.0
1975-03-03,0.4243,0.4244,0.4238,0.4238,,0.4238,9.0,150.0
1975-03-04,0.4188,0.4188,0.4188,0.4188,,0.4188,6.0,153.0
1975-03-05,0.4138,0.4171,0.4138,0.417,,0.417,49.0,152.0
1975-03-06,0.4163,0.4163,0.412,0.4132,,0.4132,35.0,156.0
1975-03-07,0.4115,0.4115,0.4082,0.4082,,0.4082,21.0,148.0
1975-03-10,0.4056,0.4086,0.4052,0.4086,,0.4086,35.0,144.0
1975-03-11,0.4083,0.411,0.408,0.4105,,0.4105,43.0,142.0
1975-03-12,0.408,0.408,0.4055,0.4055,,0.4055,15.0,144.0
1975-03-13,0.404,0.4068,0.4035,0.4057,,0.4057,19.0,146.0
1975-03-14,0.4066,0.4068,0.4052,0.4057,,0.4057,13.0,142.0
1975-03-17,0.4063,0.4063,0.4043,0.4049,,0.4049,22.0,152.0
1975-03-18,0.4058,0.4099,0.4056,0.4099,,0.4099,121.0,144.0
1975-03-19,0.4104,0.4117,0.4097,0.4105,,0.4105,21.0,138.0
1975-03-20,0.4065,0.4072,0.4055,0.4061,,0.4061,49.0,169.0
1975-03-21,0.4048,0.4052,0.4038,0.4038,,0.4038,46.0,172.0
1975-03-24,0.4016,0.4017,0.4005,0.4007,,0.4007,39.0,132.0
1975-03-25,0.401,0.4017,0.3993,0.4,,0.4,101.0,144.0
1975-03-26,0.3993,0.3995,0.3981,0.3988,,0.3988,33.0,131.0
1975-03-27,0.396,0.396,0.3945,0.3949,,0.3949,29.0,137.0
1975-03-31,0.3957,0.397,0.3946,0.3946,,0.3946,20.0,141.0
1975-04-01,0.3987,0.3992,0.3979,0.399,,0.399,91.0,146.0
1975-04-02,0.3987,0.3987,0.395,0.395,,0.395,24.0,146.0
1975-04-03,0.394,0.3958,0.394,0.3958,,0.3958,18.0,155.0
1975-04-04,0.393,0.3932,0.391,0.3922,,0.3922,23.0,159.0
1975-04-07,0.3935,0.3943,0.393,0.3943,,0.3943,17.0,167.0
1975-04-08,0.3943,0.3958,0.3943,0.3958,,0.3958,18.0,164.0
1975-04-09,0.395,0.395,0.3923,0.3924,,0.3924,13.0,164.0
1975-04-10,0.39,0.3902,0.3893,0.39,,0.39,22.0,166.0
1975-04-11,0.3903,0.3907,0.3902,0.3902,,0.3902,13.0,169.0
1975-04-14,0.3885,0.3892,0.388,0.388,,0.388,41.0,173.0
1975-04-15,0.3909,0.3909,0.3892,0.3899,,0.3899,34.0,167.0
1975-04-16,0.3905,0.3924,0.3905,0.3915,,0.3915,28.0,163.0
1975-04-17,0.3929,0.3941,0.3925,0.3938,,0.3938,157.0,159.0
1975-04-18,0.3914,0.3924,0.3914,0.3922,,0.3922,65.0,181.0
1975-04-21,0.3911,0.3911,0.3903,0.3906,,0.3906,21.0,188.0
1975-04-22,0.3923,0.394,0.3916,0.3939,,0.3939,28.0,170.0
1975-04-23,0.3956,0.3965,0.3948,0.3963,,0.3963,72.0,177.0
1975-04-24,0.3948,0.3959,0.394,0.394,,0.394,21.0,173.0
1975-04-25,0.3915,0.3915,0.389,0.3902,,0.3902,38.0,169.0
1975-04-28,0.3912,0.3913,0.3907,0.3911,,0.3911,43.0,186.0
1975-04-29,0.3915,0.3938,0.3915,0.3934,,0.3934,57.0,192.0
1975-04-30,0.394,0.3947,0.3925,0.3927,,0.3927,52.0,216.0
1975-05-01,0.3925,0.3925,0.3923,0.3923,,0.3923,30.0,231.0
1975-05-02,0.3924,0.3929,0.3917,0.3929,,0.3929,23.0,224.0
1975-05-05,0.394,0.3948,0.394,0.3944,,0.3944,31.0,455.0
1975-05-06,0.3943,0.3957,0.3943,0.3956,,0.3956,64.0,460.0
1975-05-07,0.3987,0.4009,0.3979,0.4002,,0.4002,141.0,470.0
1975-05-08,0.4018,0.4035,0.4018,0.4026,,0.4026,126.0,441.0
1975-05-09,0.4016,0.402,0.3988,0.3988,,0.3988,183.0,416.0
1975-05-12,0.3996,0.4025,0.3996,0.4021,,0.4021,70.0,431.0
1975-05-13,0.407,0.4081,0.4063,0.4081,,0.4081,111.0,443.0
1975-05-14,0.408,0.41,0.4055,0.4074,,0.4074,159.0,452.0
1975-05-15,0.4014,0.4026,0.4014,0.4014,,0.4014,96.0,477.0
1975-05-16,0.4015,0.4015,0.399,0.4003,,0.4003,108.0,436.0
1975-05-19,0.4015,0.4015,0.4002,0.4007,,0.4007,51.0,428.0
1975-05-20,0.4002,0.4019,0.3998,0.4013,,0.4013,55.0,432.0
1975-05-21,0.403,0.4054,0.403,0.405,,0.405,172.0,412.0
1975-05-22,0.408,0.4088,0.4055,0.4065,,0.4065,155.0,440.0
1975-05-23,0.4053,0.4075,0.4048,0.4073,,0.4073,79.0,417.0
1975-05-27,0.4075,0.408,0.4058,0.4061,,0.4061,93.0,417.0
1975-05-28,0.4078,0.4078,0.4051,0.4059,,0.4059,192.0,405.0
1975-05-29,0.404,0.404,0.403,0.403,,0.403,103.0,438.0
1975-05-30,0.402,0.4025,0.4002,0.4023,,0.4023,175.0,465.0
1975-06-02,0.4016,0.4041,0.4012,0.404,,0.404,113.0,453.0
1975-06-03,0.406,0.406,0.4046,0.4046,,0.4046,91.0,451.0
1975-06-04,0.4035,0.404,0.4018,0.4038,,0.4038,116.0,438.0
1975-06-05,0.4031,0.4043,0.4031,0.4039,,0.4039,50.0,440.0
1975-06-06,0.4036,0.4037,0.401,0.401,,0.401,48.0,448.0
1975-06-09,0.3996,0.4015,0.3996,0.4013,,0.4013,90.0,463.0
1975-06-10,0.402,0.403,0.4016,0.402,,0.402,111.0,474.0
1975-06-11,0.4029,0.4047,0.4029,0.4046,,0.4046,153.0,461.0
1975-06-12,0.4052,0.4052,0.4035,0.4037,,0.4037,103.0,491.0
1975-06-13,0.4037,0.4055,0.4032,0.4052,,0.4052,142.0,510.0
1975-06-16,0.4052,0.406,0.4044,0.406,,0.406,97.0,520.0
1975-06-17,0.407,0.4073,0.4051,0.4061,,0.4061,59.0,524.0
1975-06-18,0.404,0.4047,0.4037,0.4044,,0.4044,47.0,549.0
1975-06-19,0.4037,0.4039,0.403,0.4031,,0.4031,105.0,506.0
1975-06-20,0.404,0.404,0.4035,0.4037,,0.4037,17.0,501.0
1975-06-23,0.403,0.403,0.4019,0.4021,,0.4021,88.0,498.0
1975-06-24,0.4018,0.4031,0.4015,0.403,,0.403,147.0,564.0
1975-06-25,0.403,0.4036,0.403,0.4035,,0.4035,32.0,571.0
1975-06-26,0.4028,0.4035,0.402,0.4023,,0.4023,26.0,569.0
1975-06-27,0.402,0.4022,0.4011,0.4014,,0.4014,81.0,582.0
1975-06-30,0.401,0.4016,0.4006,0.4007,,0.4007,150.0,661.0
1975-07-01,0.3997,0.3997,0.3987,0.3988,,0.3988,361.0,776.0
1975-07-02,0.396,0.396,0.3944,0.3951,,0.3951,308.0,900.0
1975-07-03,0.395,0.3963,0.394,0.3963,,0.3963,248.0,918.0
1975-07-07,0.392,0.3923,0.3913,0.3916,,0.3916,145.0,914.0
1975-07-08,0.3937,0.3942,0.393,0.3938,,0.3938,92.0,916.0
1975-07-09,0.394,0.3941,0.3908,0.3909,,0.3909,313.0,1012.0
1975-07-10,0.3903,0.3914,0.3896,0.3902,,0.3902,220.0,1066.0
1975-07-11,0.3892,0.39,0.3883,0.39,,0.39,121.0,1076.0
1975-07-14,0.3878,0.3895,0.3872,0.3888,,0.3888,141.0,1064.0
1975-07-15,0.3885,0.3892,0.3859,0.3865,,0.3865,190.0,1179.0
1975-07-16,0.3844,0.3875,0.3836,0.3874,,0.3874,378.0,1018.0
1975-07-17,0.382,0.3827,0.3814,0.3825,,0.3825,166.0,1032.0
1975-07-18,0.38,0.3812,0.3778,0.3783,,0.3783,208.0,1028.0
1975-07-21,0.378,0.3797,0.378,0.3788,,0.3788,252.0,979.0
1975-07-22,0.379,0.3805,0.3769,0.3769,,0.3769,313.0,1041.0
1975-07-23,0.3738,0.3755,0.3737,0.3751,,0.3751,190.0,982.0
1975-07-24,0.3735,0.3759,0.3733,0.3743,,0.3743,235.0,954.0
1975-07-25,0.377,0.3779,0.376,0.3779,,0.3779,262.0,832.0
1975-07-28,0.376,0.376,0.3719,0.3719,,0.3719,384.0,991.0
1975-07-29,0.3718,0.3733,0.371,0.3732,,0.3732,203.0,985.0
1975-07-30,0.371,0.3721,0.3697,0.3703,,0.3703,306.0,1000.0
1975-07-31,0.3703,0.373,0.3695,0.3725,,0.3725,244.0,904.0
1975-08-01,0.3718,0.3718,0.3708,0.3715,,0.3715,76.0,868.0
1975-08-04,0.3717,0.3741,0.3716,0.3737,,0.3737,330.0,744.0
1975-08-05,0.377,0.377,0.3752,0.377,,0.377,237.0,587.0
1975-08-06,0.3765,0.3765,0.3735,0.374,,0.374,136.0,575.0
1975-08-07,0.3723,0.3734,0.371,0.373,,0.373,170.0,607.0
1975-08-08,0.372,0.374,0.3713,0.3722,,0.3722,167.0,632.0
1975-08-11,0.3723,0.373,0.3722,0.3722,,0.3722,93.0,580.0
1975-08-12,0.373,0.3732,0.3719,0.3719,,0.3719,88.0,605.0
1975-08-13,0.3731,0.3747,0.3731,0.3743,,0.3743,98.0,594.0
1975-08-14,0.3744,0.3795,0.3744,0.3792,,0.3792,283.0,582.0
1975-08-15,0.3768,0.377,0.3762,0.377,,0.377,121.0,599.0
1975-08-18,0.3767,0.3779,0.3767,0.377,,0.377,107.0,624.0
1975-08-19,0.378,0.3785,0.3776,0.3782,,0.3782,88.0,550.0
1975-08-20,0.376,0.3762,0.3753,0.3762,,0.3762,50.0,531.0
1975-08-21,0.3755,0.3759,0.3747,0.3747,,0.3747,48.0,529.0
1975-08-22,0.3752,0.3753,0.3736,0.3743,,0.3743,74.0,507.0
1975-08-25,0.3739,0.3739,0.3716,0.372,,0.372,139.0,496.0
1975-08-26,0.3732,0.3755,0.3732,0.374,,0.374,44.0,487.0
1975-08-27,0.3737,0.3748,0.3735,0.374,,0.374,73.0,430.0
1975-08-28,0.374,0.3746,0.374,0.374,,0.374,35.0,427.0
1975-08-29,0.374,0.374,0.3732,0.3737,,0.3737,24.0,404.0
1975-09-02,0.3722,0.3736,0.372,0.3735,,0.3735,30.0,381.0
1975-09-03,0.3753,0.3755,0.3742,0.3744,,0.3744,97.0,383.0
1975-09-04,0.3742,0.3742,0.3729,0.3729,,0.3729,13.0,360.0
1975-09-05,0.373,0.3732,0.3723,0.3724,,0.3724,102.0,336.0
1975-09-08,0.373,0.3734,0.3727,0.3732,,0.3732,133.0,255.0
1975-09-09,0.3735,0.3735,0.3727,0.3727,,0.3727,105.0,249.0
1975-09-10,0.3728,0.3728,0.3715,0.372,,0.372,39.0,223.0
1975-09-11,0.3716,0.3719,0.3713,0.3719,,0.3719,72.0,186.0
1975-09-12,0.3708,0.371,0.3701,0.3701,,0.3701,30.0,139.0
1975-09-15,0.3698,0.37,0.3698,0.37,,0.37,37.0,119.0
1975-09-16,0.3728,0.3728,0.3708,0.3711,,0.3711,348.0,1531.0
1975-09-17,0.3708,0.3716,0.3702,0.3715,,0.3715,258.0,1606.0
1975-09-18,0.37,0.3722,0.3698,0.3712,,0.3712,294.0,1660.0
1975-09-19,0.3708,0.3714,0.37,0.371,,0.371,166.0,1422.0
1975-09-22,0.3695,0.3695,0.369,0.3695,,0.3695,173.0,1464.0
1975-09-23,0.368,0.3702,0.368,0.3697,,0.3697,201.0,1519.0
1975-09-24,0.3697,0.3714,0.3697,0.3714,,0.3714,256.0,1480.0
1975-09-25,0.37,0.3712,0.3695,0.3696,,0.3696,215.0,1411.0
1975-09-26,0.3694,0.3695,0.366,0.3661,,0.3661,367.0,1527.0
1975-09-29,0.3656,0.3671,0.3652,0.3671,,0.3671,297.0,1591.0
