Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1959-07-01,32.29,32.29,32.25,32.26,,,33.0,617.0,,,
1959-07-02,32.3,32.31,32.3,32.3,,,31.0,620.0,,,
1959-07-06,32.33,32.33,32.33,32.33,,,11.0,625.0,,,
1959-07-07,30.39,30.42,30.39,30.41,,,34.0,169.0,,,
1959-07-08,32.43,32.47,32.4,32.4,,,34.0,654.0,,,
1959-07-09,32.43,32.44,32.31,32.31,,,20.0,659.0,,,
1959-07-10,32.32,32.32,32.31,32.31,,,34.0,676.0,,,
1959-07-13,32.3,32.3,32.25,32.3,,,4.0,678.0,,,
1959-07-14,32.26,32.29,32.26,32.27,,,11.0,683.0,,,
1959-07-15,32.25,32.29,32.25,32.29,,,16.0,688.0,,,
1959-07-16,32.3,32.37,32.3,32.36,,,62.0,707.0,,,
1959-07-17,32.38,32.4,32.28,32.4,,,22.0,711.0,,,
1959-07-20,32.4,32.4,32.34,32.34,,,30.0,720.0,,,
1959-07-21,32.32,32.32,32.31,32.31,,,22.0,738.0,,,
1959-07-22,32.3,32.31,32.28,32.29,,,5.0,737.0,,,
1959-07-23,32.27,32.3,32.27,32.27,,,9.0,735.0,,,
1959-07-24,32.28,32.28,32.28,32.28,,,7.0,732.0,,,
1959-07-27,32.26,32.26,32.25,32.25,,,0.0,732.0,,,
1959-07-28,32.25,32.31,32.24,32.31,,,7.0,734.0,,,
1959-07-29,32.28,32.37,32.28,32.35,,,35.0,726.0,,,
1959-07-30,32.33,32.33,32.33,32.33,,,20.0,719.0,,,
1959-07-31,32.28,32.28,32.25,32.25,,,3.0,719.0,,,
1959-08-03,32.21,32.22,32.18,32.19,,,3.0,719.0,,,
1959-08-04,32.2,32.3,32.2,32.3,,,26.0,720.0,,,
1959-08-05,32.3,32.34,32.24,32.34,,,15.0,732.0,,,
1959-08-06,32.32,32.34,32.3,32.32,,,19.0,743.0,,,
1959-08-07,32.35,32.35,32.35,32.35,,,36.0,760.0,,,
1959-08-10,32.28,32.28,32.28,32.28,,,8.0,756.0,,,
1959-08-11,32.26,32.31,32.26,32.3,,,2.0,758.0,,,
1959-08-12,32.28,32.28,32.25,32.25,,,7.0,758.0,,,
1959-08-13,32.24,32.25,32.23,32.25,,,21.0,757.0,,,
1959-08-14,32.32,32.39,32.32,32.32,,,28.0,772.0,,,
1959-08-17,32.34,32.34,32.3,32.31,,,18.0,765.0,,,
1959-08-18,32.35,32.35,32.35,32.35,,,13.0,774.0,,,
1959-08-19,32.31,32.34,32.31,32.31,,,13.0,773.0,,,
1959-08-20,32.3,32.4,32.3,32.38,,,5.0,772.0,,,
1959-08-21,32.42,32.43,32.39,32.4,,,20.0,764.0,,,
1959-08-24,32.38,32.38,32.38,32.38,,,24.0,763.0,,,
1959-08-25,32.35,32.4,32.35,32.4,,,2.0,763.0,,,
1959-08-26,32.39,32.39,32.39,32.39,,,8.0,757.0,,,
1959-08-27,32.41,32.44,32.32,32.35,,,4.0,757.0,,,
1959-08-28,32.38,32.45,32.38,32.45,,,10.0,755.0,,,
1959-08-31,32.47,32.47,32.41,32.41,,,26.0,749.0,,,
1959-09-01,32.37,32.37,32.37,32.37,,,14.0,751.0,,,
1959-09-02,32.37,32.37,32.37,32.37,,,1.0,751.0,,,
1959-09-03,32.35,32.35,32.27,32.3,,,4.0,752.0,,,
1959-09-04,32.31,32.32,32.27,32.29,,,3.0,750.0,,,
1959-09-08,32.32,32.33,32.32,32.32,,,6.0,748.0,,,
1959-09-09,32.34,32.34,32.31,32.31,,,13.0,741.0,,,
1959-09-10,32.31,32.32,32.3,32.3,,,13.0,741.0,,,
1959-09-11,32.3,32.3,32.28,32.28,,,19.0,737.0,,,
1959-09-14,32.25,32.25,32.19,32.24,,,23.0,738.0,,,
1959-09-15,32.25,32.35,32.23,32.35,,,61.0,760.0,,,
1959-09-16,32.36,32.36,32.22,32.26,,,29.0,747.0,,,
1959-09-17,32.25,32.25,32.25,32.25,,,5.0,748.0,,,
1959-09-18,32.28,32.28,32.28,32.28,,,1.0,748.0,,,
1959-09-21,32.3,32.45,32.3,32.45,,,0.0,748.0,,,
1959-09-22,32.43,32.45,32.43,32.45,,,37.0,772.0,,,
1959-09-23,32.45,32.45,32.29,32.32,,,8.0,772.0,,,
1959-09-24,32.35,32.36,32.28,32.28,,,11.0,765.0,,,
