Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
1993-09-01,797.0,800.0,793.0,796.0,180.0,6988.0
1993-09-02,789.0,793.0,787.0,791.0,245.0,6688.0
1993-09-03,790.0,798.0,788.0,793.0,610.0,7218.0
1993-09-06,790.0,790.0,778.0,784.0,1927.0,2697.0
1993-09-07,785.0,796.0,782.0,796.0,324.0,864.0
1993-09-08,808.0,826.0,808.0,826.0,339.0,773.0
1993-09-09,820.0,835.0,815.0,827.0,160.0,603.0
1993-09-10,831.0,835.0,822.0,825.0,45.0,179.0
1993-09-13,823.0,840.0,817.0,840.0,28.0,130.0
1993-09-14,849.0,849.0,841.0,845.0,43.0,154.0
1993-09-15,831.0,831.0,831.0,831.0,0.0,112.0
1993-09-16,841.0,870.0,841.0,870.0,9.0,112.0
1993-09-17,870.0,877.0,861.0,875.0,88.0,111.0
1993-09-20,872.0,887.0,872.0,883.0,75.0,124.0
1993-09-21,880.0,880.0,863.0,870.0,71.0,116.0
1993-09-22,880.0,900.0,880.0,894.0,59.0,112.0
1993-09-23,887.0,892.0,887.0,892.0,2.0,91.0
1993-09-24,890.0,890.0,888.0,888.0,39.0,82.0
1993-09-27,893.0,893.0,870.0,870.0,118.0,81.0
1993-09-28,875.0,875.0,875.0,875.0,117.0,26.0
1993-09-29,890.0,900.0,885.0,885.0,205.0,0.0
1993-09-30,895.0,895.0,880.0,880.0,226.0,0.0
1993-10-01,928.0,940.0,928.0,937.0,2012.0,27942.0
1993-10-04,960.0,965.0,945.0,948.0,2382.0,28122.0
1993-10-05,947.0,955.0,940.0,947.0,1889.0,28169.0
1993-10-06,944.0,946.0,932.0,933.0,1996.0,27565.0
1993-10-07,913.0,913.0,877.0,879.0,3922.0,27652.0
1993-10-08,886.0,899.0,880.0,884.0,2596.0,26074.0
1993-10-11,888.0,907.0,887.0,905.0,1556.0,26095.0
1993-10-12,911.0,931.0,903.0,909.0,2197.0,26204.0
1993-10-13,907.0,925.0,902.0,916.0,2277.0,26172.0
1993-10-14,913.0,917.0,899.0,905.0,1163.0,25666.0
1993-10-15,900.0,923.0,892.0,914.0,1523.0,25487.0
1993-10-18,914.0,927.0,910.0,916.0,683.0,25319.0
1993-10-19,919.0,925.0,912.0,925.0,1648.0,25278.0
1993-10-20,922.0,941.0,919.0,941.0,1404.0,24974.0
1993-10-21,945.0,960.0,936.0,942.0,1775.0,24599.0
1993-10-22,940.0,957.0,934.0,938.0,1098.0,23893.0
1993-10-25,933.0,943.0,933.0,942.0,534.0,23682.0
1993-10-26,944.0,952.0,936.0,937.0,1716.0,23443.0
1993-10-27,937.0,939.0,926.0,930.0,739.0,23232.0
1993-10-28,941.0,949.0,940.0,944.0,762.0,23053.0
1993-10-29,941.0,945.0,937.0,941.0,281.0,23045.0
1993-11-01,927.0,930.0,923.0,930.0,457.0,22850.0
1993-11-02,930.0,930.0,920.0,922.0,972.0,22577.0
1993-11-03,920.0,925.0,910.0,913.0,2447.0,22187.0
1993-11-04,906.0,908.0,887.0,891.0,1986.0,21422.0
1993-11-05,890.0,905.0,887.0,900.0,1781.0,20928.0
1993-11-08,902.0,902.0,894.0,896.0,629.0,20278.0
1993-11-09,899.0,911.0,898.0,910.0,708.0,20221.0
1993-11-10,909.0,924.0,909.0,923.0,2003.0,20226.0
1993-11-11,925.0,933.0,921.0,931.0,1173.0,19634.0
1993-11-12,932.0,934.0,928.0,930.0,759.0,19473.0
1993-11-15,927.0,950.0,920.0,950.0,1443.0,19116.0
1993-11-16,965.0,981.0,940.0,967.0,2812.0,18456.0
1993-11-17,966.0,981.0,964.0,981.0,1507.0,15935.0
1993-11-18,982.0,982.0,968.0,976.0,655.0,15452.0
1993-11-19,972.0,998.0,972.0,997.0,1326.0,14872.0
1993-11-22,1008.0,1011.0,987.0,993.0,995.0,14034.0
1993-11-23,981.0,981.0,962.0,968.0,291.0,13898.0
1993-11-24,960.0,975.0,958.0,973.0,1161.0,11889.0
1993-11-25,982.0,1000.0,980.0,995.0,639.0,11472.0
1993-11-26,1002.0,1005.0,999.0,1004.0,655.0,11254.0
1993-11-29,995.0,997.0,988.0,990.0,4427.0,5889.0
1993-11-30,992.0,992.0,974.0,980.0,3688.0,3579.0
1993-12-01,978.0,1000.0,977.0,991.0,386.0,447.0
1993-12-02,999.0,1000.0,985.0,994.0,161.0,423.0
1993-12-03,980.0,1000.0,980.0,999.0,65.0,408.0
1993-12-06,990.0,997.0,985.0,986.0,146.0,390.0
1993-12-07,985.0,992.0,978.0,978.0,90.0,283.0
1993-12-08,988.0,990.0,985.0,989.0,93.0,215.0
1993-12-09,990.0,994.0,980.0,980.0,120.0,116.0
1993-12-10,980.0,985.0,957.0,957.0,8.0,47.0
1993-12-13,982.0,984.0,966.0,966.0,66.0,58.0
1993-12-14,957.0,969.0,957.0,962.0,40.0,48.0
1993-12-15,953.0,953.0,953.0,953.0,0.0,41.0
1993-12-16,950.0,950.0,925.0,925.0,10.0,30.0
1993-12-17,925.0,925.0,900.0,900.0,157.0,162.0
1993-12-20,868.0,868.0,850.0,850.0,18.0,29.0
1993-12-21,840.0,870.0,835.0,855.0,352.0,339.0
1993-12-22,856.0,871.0,854.0,856.0,342.0,48.0
1993-12-23,855.0,878.0,855.0,878.0,2.0,12.0
1993-12-29,855.0,859.0,855.0,859.0,25.0,25.0
1993-12-30,860.0,860.0,860.0,860.0,0.0,25.0
1993-12-31,910.0,910.0,910.0,910.0,0.0,0.0
1994-01-04,920.0,925.0,911.0,923.0,1882.0,36512.0
1994-01-05,917.0,917.0,885.0,886.0,4395.0,36742.0
1994-01-06,889.0,901.0,885.0,896.0,2738.0,36586.0
1994-01-07,894.0,894.0,874.0,888.0,2266.0,36417.0
1994-01-10,893.0,904.0,881.0,902.0,3784.0,35325.0
1994-01-11,901.0,901.0,879.0,880.0,1975.0,35047.0
1994-01-12,868.0,892.0,866.0,889.0,2372.0,34981.0
1994-01-13,892.0,917.0,892.0,915.0,3843.0,34909.0
1994-01-14,918.0,938.0,910.0,922.0,4461.0,35037.0
1994-01-17,927.0,935.0,923.0,930.0,925.0,33523.0
1994-01-18,925.0,925.0,916.0,921.0,4159.0,31869.0
1994-01-19,918.0,928.0,912.0,914.0,1425.0,31315.0
1994-01-20,901.0,904.0,890.0,901.0,1905.0,31619.0
1994-01-21,890.0,910.0,890.0,909.0,1852.0,31709.0
1994-01-24,910.0,911.0,897.0,911.0,2176.0,31815.0
1994-01-25,915.0,924.0,914.0,919.0,2305.0,31839.0
1994-01-26,912.0,920.0,909.0,913.0,1556.0,32012.0
1994-01-27,911.0,915.0,905.0,911.0,1068.0,32224.0
1994-01-28,911.0,918.0,909.0,916.0,827.0,32431.0
1994-01-31,915.0,915.0,902.0,904.0,907.0,32659.0
1994-02-01,889.0,892.0,855.0,857.0,6176.0,31965.0
1994-02-02,850.0,864.0,847.0,854.0,1430.0,31649.0
1994-02-03,854.0,865.0,849.0,861.0,2019.0,31732.0
1994-02-04,870.0,880.0,867.0,880.0,1544.0,30099.0
1994-02-07,885.0,890.0,853.0,858.0,1699.0,29738.0
1994-02-08,857.0,875.0,857.0,873.0,1214.0,29488.0
1994-02-09,876.0,891.0,876.0,880.0,1425.0,28943.0
1994-02-10,880.0,895.0,880.0,893.0,1511.0,28662.0
1994-02-11,895.0,905.0,885.0,886.0,2343.0,27218.0
1994-02-14,882.0,888.0,880.0,885.0,1726.0,26287.0
1994-02-15,882.0,893.0,880.0,884.0,993.0,25764.0
1994-02-16,873.0,878.0,869.0,872.0,1921.0,23551.0
1994-02-17,875.0,876.0,864.0,870.0,6622.0,17653.0
1994-02-18,869.0,907.0,869.0,906.0,1772.0,16176.0
1994-02-21,912.0,919.0,906.0,918.0,2127.0,14728.0
1994-02-22,916.0,916.0,900.0,902.0,1295.0,13991.0
